timestamp_entry,symbol,direction,entry_price,exit_price,exit_reason,pnl_usd,pnl_pct
2025-09-03 14:00:00+00:00,ETH-USD,LONG,4469.3336,4403.4626,STOP_LOSS,-157.38,-1.5738
2025-09-06 15:00:00+00:00,ETH-USD,SHORT,4269.864,4307.9087,STOP_LOSS,-99.1,-0.991
2025-09-08 08:00:00+00:00,BTC-USD,LONG,111704.8245,112771.5132,TAKE_PROFIT,88.49,0.8849
2025-09-15 08:00:00+00:00,ETH-USD,SHORT,4508.8445,4515.2565,TIME_STOP,-24.22,-0.2422
2025-09-22 00:00:00+00:00,BTC-USD,SHORT,114412.765,113515.7002,TAKE_PROFIT,71.41,0.7141
2025-10-03 15:00:00+00:00,BTC-USD,LONG,122474.2065,124357.3575,TAKE_PROFIT,146.76,1.4676
2025-10-16 15:00:00+00:00,BTC-USD,SHORT,108548.6985,105475.6988,TAKE_PROFIT,276.1,2.761
2025-10-16 15:00:00+00:00,ETH-USD,SHORT,3905.6462,3733.7255,TAKE_PROFIT,433.19,4.3319
2025-10-19 13:00:00+00:00,ETH-USD,LONG,3978.5883,3918.3585,STOP_LOSS,-161.38,-1.6138
2025-10-22 21:00:00+00:00,ETH-USD,SHORT,3742.9276,3819.1485,STOP_LOSS,-213.64,-2.1364
2025-10-25 12:00:00+00:00,BTC-USD,LONG,112006.9755,111295.622,STOP_LOSS,-73.51,-0.7351
2025-10-26 09:00:00+00:00,BTC-USD,LONG,112608.276,113637.8952,TAKE_PROFIT,84.43,0.8443
2025-10-26 11:00:00+00:00,ETH-USD,LONG,4047.0225,4117.8681,TAKE_PROFIT,168.06,1.6806
2025-10-29 15:00:00+00:00,BTC-USD,SHORT,111474.235,109538.4817,TAKE_PROFIT,166.65,1.6665
2025-11-06 15:00:00+00:00,BTC-USD,SHORT,101950.999,99442.918,TAKE_PROFIT,239.01,2.3901
2025-11-07 12:00:00+00:00,BTC-USD,SHORT,99533.2085,100778.7806,STOP_LOSS,-135.14,-1.3514
2025-11-16 15:00:00+00:00,BTC-USD,SHORT,94415.7685,95370.939,STOP_LOSS,-111.17,-1.1117
2025-11-23 01:00:00+00:00,BTC-USD,LONG,85920.939,88129.3119,TAKE_PROFIT,250.02,2.5002
2025-11-26 17:00:00+00:00,BTC-USD,LONG,89936.946,92316.0063,TAKE_PROFIT,257.53,2.5753
2025-12-05 16:00:00+00:00,ETH-USD,SHORT,3033.8823,2915.2227,TAKE_PROFIT,384.11,3.8411
2025-12-07 14:00:00+00:00,BTC-USD,SHORT,88214.8705,88970.701,STOP_LOSS,-95.68,-0.9568
2025-12-11 21:00:00+00:00,BTC-USD,LONG,92950.452,91642.8806,STOP_LOSS,-150.67,-1.5067
2025-12-12 15:00:00+00:00,BTC-USD,SHORT,89959.9975,89081.5185,TIME_STOP,87.65,0.8765
2025-12-18 13:00:00+00:00,BTC-USD,LONG,88893.4245,87849.4437,STOP_LOSS,-127.44,-1.2744
2025-12-21 09:00:00+00:00,BTC-USD,LONG,88941.4485,88429.5699,STOP_LOSS,-67.55,-0.6755
2025-12-21 13:00:00+00:00,ETH-USD,SHORT,2948.9248,2973.8801,STOP_LOSS,-94.63,-0.9463
2026-01-03 21:00:00+00:00,BTC-USD,LONG,90595.275,91607.6502,TAKE_PROFIT,104.75,1.0475
2026-01-05 00:00:00+00:00,BTC-USD,LONG,92392.173,93473.9207,TAKE_PROFIT,110.08,1.1008
2026-01-05 00:00:00+00:00,ETH-USD,LONG,3169.2838,3144.8435,STOP_LOSS,-87.12,-0.8712
2026-01-06 14:00:00+00:00,ETH-USD,LONG,3281.3398,3244.2026,STOP_LOSS,-123.18,-1.2318
2026-01-16 15:00:00+00:00,BTC-USD,SHORT,94523.7145,95335.9715,STOP_LOSS,-95.93,-0.9593
2026-01-16 15:00:00+00:00,ETH-USD,SHORT,3263.5674,3301.206,STOP_LOSS,-125.33,-1.2533
2026-01-18 23:00:00+00:00,BTC-USD,SHORT,93601.176,92586.3334,TAKE_PROFIT,101.42,1.0142
2026-01-25 03:00:00+00:00,BTC-USD,SHORT,88781.587,88025.4927,TAKE_PROFIT,78.16,0.7816
2026-01-25 08:00:00+00:00,ETH-USD,SHORT,2925.7364,2944.763,STOP_LOSS,-75.03,-0.7503
2026-02-03 14:00:00+00:00,ETH-USD,SHORT,2253.8725,2147.6036,TAKE_PROFIT,464.49,4.6449
2026-02-03 16:00:00+00:00,BTC-USD,SHORT,76430.7655,73944.3331,TAKE_PROFIT,318.32,3.1832
2026-02-08 11:00:00+00:00,ETH-USD,LONG,2133.166,2088.5177,STOP_LOSS,-219.31,-2.1931
2026-02-09 10:00:00+00:00,BTC-USD,SHORT,68621.672,69827.1862,STOP_LOSS,-185.68,-1.8568
2026-02-11 04:00:00+00:00,ETH-USD,SHORT,1969.2149,2006.335,STOP_LOSS,-198.5,-1.985
2026-02-14 11:00:00+00:00,ETH-USD,LONG,2100.95,2077.0318,STOP_LOSS,-123.84,-1.2384
2026-02-15 12:00:00+00:00,ETH-USD,SHORT,2007.7956,1946.8969,TAKE_PROFIT,296.31,2.9631
2026-02-16 15:00:00+00:00,BTC-USD,SHORT,67526.22,68502.2669,STOP_LOSS,-154.54,-1.5454
2026-02-28 06:00:00+00:00,BTC-USD,SHORT,63215.3765,64131.1856,STOP_LOSS,-154.87,-1.5487
2026-02-28 06:00:00+00:00,ETH-USD,SHORT,1842.6782,1877.5688,STOP_LOSS,-199.35,-1.9935
2026-03-06 12:00:00+00:00,BTC-USD,SHORT,69896.0345,68137.5306,TAKE_PROFIT,244.59,2.4459
2026-03-06 14:00:00+00:00,ETH-USD,SHORT,1979.8096,1945.5723,TIME_STOP,162.93,1.6293
2026-03-07 19:00:00+00:00,BTC-USD,SHORT,67041.4625,67671.1059,STOP_LOSS,-103.92,-1.0392
2026-03-15 22:00:00+00:00,BTC-USD,LONG,72798.381,74118.8458,TAKE_PROFIT,174.39,1.7439
2026-03-15 22:00:00+00:00,ETH-USD,LONG,2183.191,2237.95,TAKE_PROFIT,243.82,2.4382
2026-03-22 21:00:00+00:00,BTC-USD,SHORT,67858.054,68527.2762,STOP_LOSS,-108.62,-1.0862
2026-03-27 08:00:00+00:00,BTC-USD,SHORT,67846.06,66373.4354,TAKE_PROFIT,210.05,2.1005
2026-03-27 10:00:00+00:00,ETH-USD,SHORT,1989.3048,2019.8324,STOP_LOSS,-163.46,-1.6346
2026-03-28 13:00:00+00:00,ETH-USD,LONG,2026.1125,2005.1456,STOP_LOSS,-113.48,-1.1348
2026-04-04 15:00:00+00:00,BTC-USD,LONG,67410.6885,67060.3885,STOP_LOSS,-61.97,-0.6197
2026-04-05 06:00:00+00:00,BTC-USD,SHORT,66745.6105,67085.8045,STOP_LOSS,-60.97,-0.6097
2026-04-09 15:00:00+00:00,BTC-USD,LONG,72148.056,72837.563,TIME_STOP,85.57,0.8557
2026-04-11 16:00:00+00:00,ETH-USD,LONG,2263.4311,2301.3444,TAKE_PROFIT,160.5,1.605
2026-04-11 18:00:00+00:00,BTC-USD,LONG,73602.783,73077.0707,STOP_LOSS,-81.43,-0.8143
2026-04-11 18:00:00+00:00,ETH-USD,LONG,2306.2525,2282.0762,STOP_LOSS,-114.83,-1.1483
2026-04-16 13:00:00+00:00,BTC-USD,SHORT,73759.102,74533.9178,STOP_LOSS,-115.05,-1.1505
2026-04-19 07:00:00+00:00,ETH-USD,SHORT,2316.6411,2340.3486,STOP_LOSS,-112.34,-1.1234
2026-04-19 17:00:00+00:00,BTC-USD,SHORT,74769.5965,75460.5619,STOP_LOSS,-102.41,-1.0241
2026-04-27 00:00:00+00:00,BTC-USD,LONG,79372.6665,78677.3145,STOP_LOSS,-97.61,-0.9761
2026-05-02 21:00:00+00:00,BTC-USD,LONG,78781.371,78337.6912,STOP_LOSS,-66.32,-0.6632
2026-05-02 21:00:00+00:00,ETH-USD,LONG,2326.0624,2312.5371,STOP_LOSS,-68.15,-0.6815
2026-05-10 15:00:00+00:00,BTC-USD,LONG,81460.71,81072.9323,STOP_LOSS,-57.6,-0.576
2026-05-16 07:00:00+00:00,ETH-USD,SHORT,2191.5037,2155.2618,TAKE_PROFIT,158.37,1.5837
2026-05-17 23:00:00+00:00,BTC-USD,SHORT,77357.302,76274.0085,TAKE_PROFIT,133.04,1.3304
2026-05-17 23:00:00+00:00,ETH-USD,SHORT,2127.6356,2149.7186,STOP_LOSS,-113.79,-1.1379
2026-05-26 00:00:00+00:00,BTC-USD,SHORT,76670.6455,77214.5118,STOP_LOSS,-80.94,-0.8094
2026-05-29 13:00:00+00:00,BTC-USD,SHORT,73029.467,73628.9377,STOP_LOSS,-92.09,-0.9209
2026-06-07 22:00:00+00:00,ETH-USD,LONG,1672.5358,1639.1102,STOP_LOSS,-209.85,-2.0985
2026-06-13 21:00:00+00:00,BTC-USD,LONG,64463.2155,64029.3176,STOP_LOSS,-77.31,-0.7731
2026-06-13 21:00:00+00:00,ETH-USD,LONG,1687.4433,1674.7148,STOP_LOSS,-85.43,-0.8543
2026-06-14 14:00:00+00:00,ETH-USD,SHORT,1657.4709,1668.0243,STOP_LOSS,-73.67,-0.7367
2026-06-14 17:00:00+00:00,BTC-USD,SHORT,63681.1435,64087.5184,STOP_LOSS,-73.81,-0.7381
2026-06-18 15:00:00+00:00,BTC-USD,SHORT,62279.8445,63104.2176,STOP_LOSS,-142.37,-1.4237
2026-06-18 15:00:00+00:00,ETH-USD,SHORT,1681.3589,1708.5271,STOP_LOSS,-171.58,-1.7158
2026-06-21 23:00:00+00:00,BTC-USD,SHORT,63247.3605,63738.2134,STOP_LOSS,-87.61,-0.8761
2026-06-24 13:00:00+00:00,BTC-USD,SHORT,61217.376,59873.5984,TAKE_PROFIT,212.51,2.1251
2026-06-28 22:00:00+00:00,ETH-USD,SHORT,1554.0226,1571.9002,STOP_LOSS,-125.04,-1.2504
2026-06-29 17:00:00+00:00,ETH-USD,LONG,1626.0126,1599.6202,STOP_LOSS,-172.31,-1.7231
2026-07-04 15:00:00+00:00,BTC-USD,LONG,62927.448,62536.9864,STOP_LOSS,-72.05,-0.7205
2026-07-04 15:00:00+00:00,ETH-USD,LONG,1789.0941,1771.4127,STOP_LOSS,-108.83,-1.0883
2026-07-05 22:00:00+00:00,BTC-USD,LONG,63695.832,63225.7549,STOP_LOSS,-83.8,-0.838
2026-07-06 09:00:00+00:00,ETH-USD,SHORT,1755.8217,1773.2843,STOP_LOSS,-109.46,-1.0946
2026-07-10 01:00:00+00:00,BTC-USD,LONG,63744.8565,64061.953,TIME_STOP,39.74,0.3974
2026-07-11 14:00:00+00:00,ETH-USD,LONG,1810.2046,1797.7968,STOP_LOSS,-78.54,-0.7854
2026-07-15 12:00:00+00:00,ETH-USD,LONG,1927.6634,1905.4225,STOP_LOSS,-125.38,-1.2538
2026-07-24 13:00:00+00:00,ETH-USD,SHORT,1855.2719,1874.4012,STOP_LOSS,-113.11,-1.1311
2026-07-26 14:00:00+00:00,ETH-USD,LONG,1896.2476,1913.8863,TAKE_PROFIT,86.02,0.8602
2026-07-26 15:00:00+00:00,ETH-USD,LONG,1914.5568,1935.5427,TAKE_PROFIT,102.61,1.0261
2026-08-01 18:00:00+00:00,ETH-USD,SHORT,1833.7827,1847.1125,STOP_LOSS,-82.69,-0.8269
2026-08-02 02:00:00+00:00,BTC-USD,LONG,63400.6845,63053.4418,STOP_LOSS,-64.77,-0.6477
2026-08-05 17:00:00+00:00,BTC-USD,LONG,64723.3455,64258.3548,STOP_LOSS,-81.84,-0.8184
2026-08-08 14:00:00+00:00,ETH-USD,LONG,1924.4617,1915.1166,STOP_LOSS,-58.56,-0.5856
2026-08-09 15:00:00+00:00,ETH-USD,LONG,1927.5633,1919.8814,STOP_LOSS,-49.85,-0.4985
2026-08-23 04:00:00+00:00,ETH-USD,SHORT,2377.0109,2411.8366,STOP_LOSS,-156.51,-1.5651
2026-08-23 13:00:00+00:00,ETH-USD,LONG,2461.23,2424.6343,STOP_LOSS,-158.69,-1.5869
2026-03-07 19:00:00+00:00,BTC-USD,SHORT,67041.4625,67671.1059,STOP_LOSS,-103.92,-1.0392
2026-03-15 22:00:00+00:00,BTC-USD,LONG,72798.381,74118.8458,TAKE_PROFIT,174.39,1.7439
2026-03-15 22:00:00+00:00,ETH-USD,LONG,2183.191,2237.95,TAKE_PROFIT,243.82,2.4382
2026-03-22 21:00:00+00:00,BTC-USD,SHORT,67858.054,68527.2762,STOP_LOSS,-108.62,-1.0862
2026-03-27 08:00:00+00:00,BTC-USD,SHORT,67846.06,66373.4354,TAKE_PROFIT,210.05,2.1005
2026-03-27 10:00:00+00:00,ETH-USD,SHORT,1989.3048,2019.8324,STOP_LOSS,-163.46,-1.6346
2025-09-03 14:00:00+00:00,ETH-USD,LONG,4469.3336,4403.4626,STOP_LOSS,-157.38,-1.5738
2025-09-06 15:00:00+00:00,ETH-USD,SHORT,4269.864,4307.9087,STOP_LOSS,-99.1,-0.991
2025-09-08 08:00:00+00:00,BTC-USD,LONG,111704.8245,112771.5132,TAKE_PROFIT,88.49,0.8849
2025-09-15 08:00:00+00:00,ETH-USD,SHORT,4508.8445,4515.2565,TIME_STOP,-24.22,-0.2422
